client_id,client_technical_level,onboarding_owner_defined,founder_involved,docs_provided,repeat_questions_count,onboarding_duration_days,time_to_first_value_days,satisfaction_score
C001,Low,No,Yes,No,4,24,28,4.2
C002,High,Yes,No,No,4,12,16,4.4
C003,Low,Yes,No,Yes,4,9,13,5.0
C004,High,No,Yes,Yes,2,21,23,4.9
C005,Low,No,Yes,Yes,1,23,24,4.9
C006,High,No,Yes,No,5,16,22,3.7
C007,Low,No,Yes,Yes,0,25,25,5.0
C008,Medium,No,Yes,No,2,25,27,4.2
C009,Medium,No,Yes,Yes,4,23,27,4.6
C010,Low,Yes,No,Yes,3,12,15,4.8
C011,High,No,Yes,No,10,23,35,3.3
C012,High,Yes,No,Yes,1,16,17,4.8
C013,Low,Yes,No,Yes,1,25,26,4.8
C014,Medium,Yes,No,Yes,0,24,24,4.9
C015,Low,Yes,No,Yes,3,19,22,5.0
C016,Low,No,Yes,No,7,26,34,2.8
C017,Medium,Yes,No,Yes,2,9,11,5.0
C018,High,Yes,No,Yes,3,21,24,5.0
C019,Medium,Yes,No,Yes,5,16,22,5.0
C020,Low,No,No,Yes,2,10,12,5.0
C021,Low,Yes,No,No,11,11,24,3.1
C022,Medium,Yes,No,No,6,21,28,3.9
C023,Medium,No,No,Yes,1,10,11,4.7
C024,Medium,No,Yes,No,7,25,33,3.2
C025,High,No,No,No,2,18,20,4.3
C026,Low,Yes,No,Yes,1,9,10,5.0
C027,High,No,Yes,Yes,2,17,19,5.0
C028,Low,No,Yes,Yes,0,22,22,5.0
C029,Low,No,Yes,Yes,4,22,26,5.0
C030,Medium,No,Yes,No,5,19,25,3.7
C031,Low,Yes,No,No,3,11,14,4.1
C032,Low,No,No,Yes,0,17,17,5.0
C033,Medium,Yes,No,Yes,1,21,22,5.0
C034,Medium,Yes,No,No,6,12,19,4.1
C035,Low,No,Yes,No,7,20,28,3.1
C036,Medium,No,Yes,Yes,3,26,29,4.8
C037,Low,No,Yes,No,2,21,23,3.9
C038,High,No,Yes,No,3,27,30,3.7
C039,High,No,No,Yes,7,16,24,3.7
C040,High,No,Yes,Yes,3,44,47,5.0
C041,Low,Yes,No,No,4,14,18,3.6
C042,Low,Yes,No,Yes,4,10,14,5.0
C043,Low,No,Yes,No,5,19,25,4.4
C044,Medium,Yes,No,No,7,13,21,2.8
C045,Low,Yes,No,Yes,0,10,10,5.0
C046,Medium,Yes,No,No,4,20,24,3.6
C047,Low,Yes,No,No,7,16,24,2.6
